Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Site Map,Offer,Active
Patriot Chevrolet GMC,https://www.patriotchevroletgmc.com/,DealerOn,DealerOn,STD,PASS,Perfect (DealerOn Rule of 1),Yes,$500 Off Any,Yes
Paul Miller Auto Outlet,https://www.paulmillerauto.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Paul Miller Ford,https://www.paulmillerford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),Yes,$500 Your Way,Yes
Paul Miller Mazda,https://www.paulmillermazda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Peoria Toyota,https://www.peoriatoyota.com/,Dealer.com,,DCOM,PASS,Perfect (Rule of 1),,,No
Priority Chevrolet Chesapeake,https://www.prioritychevrolet.com/,Dealer.com,Dealer.com,STD,PASS,Perfect (Dealer.com Rule of 1),,$500 Off Any,Yes
Priority Honda Hampton,https://www.priorityhondahampton.com/,DealerOn,DealerOn,STD,PASS,Perfect (DealerOn Rule of 1),,$1000 Trade Assist,Yes
Priority Infiniti Greenbrier,https://www.priorityinfiniti.com/,DealerOn,DealerOn,STD,PASS,Perfect (DealerOn Rule of 1),,$250 Off Used,Yes
Reggie Jackson Airport Honda,https://www.reggiejacksonairporthonda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Rick Hendrick Buick GMC Duluth,https://www.rickhendrickbuickgmcatlanta.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Cadillac Norfolk,https://www.rickhendrickcadillacnorfolk.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Select,Yes
Rick Hendrick CDJRF of North Charleston,https://www.jeephendrick.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Chevrolet Buick GMC Richmond,https://www.hendrickchevybuickgmcrichmond.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Chevrolet Charleston,https://www.rickhendrickchevy.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Chevrolet Duluth,https://www.hendrickatlanta.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$1000 Off Used,Yes
Rick Hendrick Chevrolet Naples,https://www.rickhendrickchevynaples.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any,Yes
Rick Hendrick Chevrolet Norfolk,https://www.rickhendrickchevroletnorfolk.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Chevrolet of Buford,https://www.hendrickbuford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$1000 Off Used,Yes
Rick Hendrick Chrysler Dodge Jeep Ram Duluth,https://www.hendrickcdjratlanta.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off New/$500 Off Used,Yes
Rick Hendrick Chrysler Dodge Jeep Ram Fiat Wilmington,https://www.hendrickjeepwilmington.com/,Security Block,Security Block,ERR,BLOCKED,Bot Detection / CAPTCHA (Saved Img) (1/3),,$500 Off Any,Yes
Rick Hendrick City Chevrolet,https://www.citychevrolet.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$750 Off Any,Yes
Rick Hendrick DCJR Charleston,https://www.rickhendrickdodge.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Honda,https://www.rickhendrickhonda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Rick Hendrick Toyota of Fayetteville,https://www.rickhendricktoyota.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Toyota Sandy Springs,https://www.rickhendricktoyotasandysprings.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rusty Wallace Kia Alcoa,https://www.rustywallacekiaalcoa.com/,DealerOn,DealerOn,STD,WARN,Found 2 (DealerOn expects 1) (Saved Img),,$500 Trade Assist,Yes
Sands Chrysler Dodge Jeep Ram,https://www.sandschryslerjeepdodge.net/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Your Way,Yes
Secret City Chrysler Dodge Jeep Ram,https://www.secretcitycdjr.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Serra Honda Brighton,https://www.serrahondabrighton.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$750 Off Any,Yes
South Strand Chrysler Dodge Jeep Ram,https://www.southstrandchrysler.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$1000 Trade Assist,Yes
Stevenson Hendrick Honda Wilmington,https://www.stevensonhendrickhonda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,Maintenance Package,Yes
Stevenson Hendrick Mazda,https://www.stevensonhendrickmazda.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Stevenson-Hendrick Honda Jacksonville,https://www.stevensonhendrickhondajacksonville.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Stevenson-Hendrick Toyota Jacksonville,https://www.stevensonhendricktoyota.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$1000 Off Any,Yes
Stokes Chevrolet of Moncks Corner,https://www.stokeschevy.com/,SOKAL,Sokal,DCOM,PASS,Perfect (Rule of 1),,$750 Off Any New,Yes
Stokes Hodges Ford,https://www.stokeshodgesford.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Stokes Hodges Kia,https://www.stokeshodgeskia.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off New/$300 Off Used,Yes
Stone Mountain Honda,https://www.hondaofstonemountain.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Team Chevrolet GMC Salisbury,https://www.teamchevync.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any New OR $500 Trade Assist,Yes
Team Chevrolet of Goldsboro,https://www.teamgoldsboro.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),Yes,$1000 Off Any New OR $1000 Trade Assist,Yes
Team Chevrolet of Swansboro,https://www.teamswansboro.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $1000 Trade Assist,Yes
Team Chrysler Dodge Ram of Morganton,https://www.teammorganton.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $1000 Trade Assist,Yes
Team Dodge Ram Fiat Myrtle Beach,https://www.teamdodgeramsc.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $1000 Trade Assist,Yes
Ted Russell Ford,https://www.tedrussellford.net/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Ted Russell Lincoln,https://www.tedrusselllincoln.net/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Terry Labonte Chevrolet,https://www.terrylabontechevy.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Terry Lambert Hyundai,https://www.terrylamberthyundai.com/,DealerOn,DealerOn,STD,PASS,Perfect (DealerOn Rule of 1),,$500 Off Any PLUS $500 Trade Assist,Yes
Toyota Knoxville,https://www.toyotaknoxville.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$500 Off Select,Yes
Toyota of Murfreesboro,https://www.toyotaofmurfreesboro.com/,Dealer eProcess,Dealer eProcess,STD,PASS,Perfect (Rule of 2),,$500 Off Select,Yes
Toyota of Wilmington,https://www.toyotaofwilmington.com/,SOKAL,Sokal,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Victory Chrysler Dodge Jeep Ram,https://www.victoryshallotte.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
Volkswagen of Murrieta,https://www.vwofmurrieta.com/,Dealer Inspire,Dealer Inspire,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Volunteer Auto Group,https://www.volauto.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
VW of Huntington,https://www.vwofhuntington.com/,Dealer.com,Dealer.com,DCOM,PASS,Perfect (Rule of 1),,$500 Off Any,Yes
