Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Site Map,Offer,Active
Rick Hendrick DCJR Charleston,https://www.rickhendrickdodge.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Rick Hendrick Honda,https://www.rickhendrickhonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Rick Hendrick Toyota Sandy Springs,https://www.rickhendricktoyotasandysprings.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Serra Honda Brighton,https://www.serrahondabrighton.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$750 Off Any,Yes
Stevenson Hendrick Honda Wilmington,https://www.stevensonhendrickhonda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,Maintenance Package,Yes
Stevenson Hendrick Mazda,https://www.stevensonhendrickmazda.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Stevenson-Hendrick Honda Jacksonville,https://www.stevensonhendrickhondajacksonville.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off New/$500 Off Used,Yes
Stokes Hodges Ford,https://www.stokeshodgesford.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Team Chevrolet GMC Salisbury,https://www.teamchevync.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any New OR $500 Trade Assist,Yes
Team Chevrolet of Swansboro,https://www.teamswansboro.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $1000 Trade Assist,Yes
Team Chrysler Dodge Ram of Morganton,https://www.teammorganton.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $1000 Trade Assist,Yes
Team Dodge Ram Fiat Myrtle Beach,https://www.teamdodgeramsc.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$1000 Off Any New OR $1000 Trade Assist,Yes
Ted Russell Ford,https://www.tedrussellford.net/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Terry Labonte Chevrolet,https://www.terrylabontechevy.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Volkswagen of Murrieta,https://www.vwofmurrieta.com/,Dealer Inspire,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Daytona Infiniti,https://www.daytonainfiniti.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$1250 Trade Assist,Yes
Daytona Nissan,https://www.daytonanissan.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$1250 Trade Assist,Yes
Gary Yeomans Honda,https://www.garyyeomanshonda.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$1250 Trade Assist,Yes
Lake Norman Hyundai,https://www.lakenormanhyundai.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$500 Your Way,Yes
Madison Honda,https://www.madisonhonda.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Mathews Honda of Paris,https://www.hondaofparis.net/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Mathews Nissan of Paris,https://www.parisnissan.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$500 Off Any,Yes
Toyota Knoxville,https://www.toyotaknoxville.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$500 Off Select,Yes
Toyota of Murfreesboro,https://www.toyotaofmurfreesboro.com/,Dealer eProcess,,STD,PASS,Perfect (Rule of 2),,$500 Off Select,Yes
Jackie Cooper Infiniti,https://jackiecooperinfiniti.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Jackie Cooper Mercedes,https://jackiecoopermercedes.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Jackie Cooper Nissan,https://jackiecoopernissan.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$1000 Trade Assist,Yes
Joe Cooper Chevrolet,https://joecooperchevroletcadillacgmc.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Dodge Jeep Shawnee,https://joecooperdodgejeep.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$1000 Off Any,Yes
Joe Cooper Dodge of Yukon,https://joecooperdodgeyukon.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Ford Edmond,https://joecooperfordedmond.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$1000 Off Any,Yes
Joe Cooper Ford of Yukon,https://joecooperfordyukon.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Joe Cooper Ford Shawnee,https://joecooperfordshawnee.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$1000 Off Any,Yes
Joe Cooper Hyundai of Midwest City,https://joecooperhyundai.com/,Dealer.com,,SPA,PASS,Perfect (Rule of 4),,$500 Off Any,Yes
Hendrick Buick GMC Cary,https://www.hendrickbuickgmccary.com/,Persistent Block,,,UNVERIFIABLE,Blocked 3x. Manual verification required.,,$500 Off Any,Yes
Barbour Hendrick Honda,https://www.barbourhendrickhonda.com/,Manual Required,,,UNVERIFIABLE,Site blocks automation. Manual check required.,,$500 Off New/$500 Off Used,Yes
Hendrick Acura Charlotte,https://www.hendrickacura.com/,Manual Required,,,UNVERIFIABLE,Site blocks automation. Manual check required.,,$500 Off Service Contract,Yes
Rusty Wallace Kia Alcoa,https://www.rustywallacekiaalcoa.com/,DealerOn,,STD,WARN,Found 2 (DealerOn expects 1) (Saved Img),,$500 Trade Assist,Yes
Nissan of Garden City,https://www.nissanofgardencity.com/,SOKAL,,STD,WARN,Found 4 (Expected 2) (Saved Img),,$500 Off Any,Yes
Joe Cooper Lincoln of Edmond,https://joecooperlincoln.com/,Dealer.com,,SPA,WARN,Found 6 (Expected 4) (Saved Img),,$500 Off Any,Yes
